Name ,x,y,Type,WRSE-Ref,Zone generic,Company,WRZ,Earliest Start Year,Year Activated,Asset life,DO,Demand flow,Demand + THR flow,DI,THR,Loss,Financial cost,Financial cost accrued,Financial vopex,Financial vopex accrued,EnvSoc cost,EnvSoc cost accrued,EnvSoc vopex,EnvSoc vopex accrued,OneOff cost,OneOff cost accrued,Carbon const,Carbon capital cost accrued,Carbon fopex,Carbon fopex cost accrued,Carbon vopex,Carbon vopex cost accrued,OneOff carbon,OneOff carbon cost accrued,Ratchet,ExDO VOPEX (p/m3),Percentage of ExDO VOPEX (calc),Percentage of ExDO VOPEX (round upto 5%),Description
ExDO01a,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO27,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO28,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO29,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO30,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO31,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO32a,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO32b,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO35,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO38,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO39a,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
ExDO39b,(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),(Projection; WGS84) (Accuracy; < 10m) (Source; Water company),,(Format; Company-Type-Zone-UniqueID),(Description; Zone name used for reporting),,(Description; Zone name with 3 letter code),(Description; Assigned by water companies),,,(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; GAMS model),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; DYAA|DYCP|MDO|NYAA) (Source; WRMP),(Column description; Capex | Fopex) (Description; Potential annuity for financial capex and fopex),(Column description; Capex | Fopex) (Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for financial vopex),(Column description; Vopex)(Description; Realised annuity for financial capex and fopex),(Description; Potential annuity for environmental and social capex and fopex),(Column description; Capex | Fopex)  (Description; Realised annuity for environmental and social capex and fopex),(Description; Potential annuity for environmental and social vopex),(Column description; Vopex) (Description; Realised annuity for environmental and social capex and fopex),,,,,,,,,,,,,,,
