PRMName,Name,x,y,Type,Type_ID,InitialStorage,InitialStorageMID,InitialStorageMID_text,AreaCapFactor,AreaCapFactorMID,AreaCapFactorMID_text,EndingStorage,EndingStorageMID,EndingStorageMID_text,EndingStorageMethod,EvaporationRatePathname,EvaporationRatePathnameMID,EvaporationRatePathnameMID_text,ElevationAreaCapacityPathname,ElevationAreaCapacityPathnameMID,ElevationAreaCapacityPathnameMID_text,AuthorID,AuthorName_text,Categories,Categories_text,Description
C148,C148,-12868190.63,3921739.629,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,Imperial System node - New River Inflow to Salton Sea
C149,C149,-12795442.04,3857397.142,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,All American Canal diversion to Coachella Canal
C14,C14,-13564259.03,4727721.017,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,CVPM 4 Delivery
C150,C150,-13607592.81,4705912.77,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Cache Creek Consumptive Use
C151,C151,-12815217.38,3856214.802,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,All Amercian Canal diversion to artificial recharge for GW-IM
C152,C152,-12833264.74,3855070.497,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,All American Canal into East Highline; Central; Main and Westside Canals - farm gate to Imperial Valley Ag
C153,C153,-13037706.33,3973249.784,Junction Node,9,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,,,MWD San Diego Pipelines 1; 2; 4 &6 (treated water;except 6)
C154,C154,-13037706.33,3973249.784,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,MWD E&W supply junction node
C155,C155,-13590115.26,4652422.467,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Putah Creek Consumptive Use
C156,C156,-13038324,3957297.701,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,MWD San Diego Pipelines 1; 2; & 4 (treated water)
C157,C157,-12931860.13,3977725.938,Junction Node,9,,,,,,,,,,,,,,,,,14,Randy Ritzema,,,Diversion for Coachella Desalting Facility
C158,C158,-12947022.49,3995603.498,Junction Node,9,,,,,,,,,,,,,,,,,14,Randy Ritzema,,,Artificial recharge on Coachella Lower Valley (Martinez and La Quinta)
C15,C15,-13587777.78,4749626.531,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Colusa Basin Drain
C161,C161,-13182492.32,4123969.562,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,,,MWD Central supply junction node
C16,C16,-13590547.62,4680885.24,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Capay Diversion Dam
C172,C172,-13468068.05,4541223.069,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,CVPM 11 farm gate
C173,C173,-13498940.31,4664190.25,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Fols. S. California Aqueductn. Diversion to Mok. River Aqu.
C17,C17,-13569551.52,4660403.205,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM 6 delivery
C18,C18,-13541375.54,4652527.647,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM 6 return to Yolo BP
C19,C19,-13581617.71,4649553.455,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Putah CRiver Diversion To Putah S. California Aqueductnal
C1,C1,-13603026.76,4888260.114,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Sacramento River Diversion To CVPM 2
C201,C201,-13483730.14,4593778.132,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Mokelumne River Aqueduct
C20,C20,-13535121.82,4646733.307,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Putah Creek Inflow to Yolo BP
C21,C21,-13575949.83,4649078.429,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Putah S. California Aqueductnal Diversion To CVPM6
C22,C22,-13568351.96,4622219.177,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,NB Aqu. Delivery to Sacramento Urban
C23,C23,-13530639.49,4797562.488,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Feather River Diversion to Therm. FB
C25,C25,-13540748.23,4787556.414,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Thermalito FB return to Feather River
C26,C26,-13563287.17,4742878.005,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM 5 Delivery
C27,C27,-13500167.73,4755374.05,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Confluence of Yuba River forks
C28,C28,-13499611.09,4753793.284,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Dry Creek Inflow to Feather River
C29,C29,-13528109.56,4746897.969,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Deer Creek Inflow to Feather River
C2,C2,-13607707.01,4922030.016,Junction Node,9,,,,,,,,,,,,,,,,,5,Ken Kirby,1,,Cottonwood Creek Inflow
C301,C301,-13550184.86,4693527.45,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Colusa Basin Drain inflow to Sacramento River
C302,C302,-13602447.87,4775960.98,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Diversion to Sacramento West Refuges
C303,C303,-13594970.53,4764786.608,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,CVPM 3 delivery
C304,C304,-13587777.78,4749626.531,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,DA12 loCalifornia Aqueductl inflow
C305,C305,-13583153.29,4738376.058,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Sacramento West Refuges return
C306,C306,-13541356.05,4675638.533,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Knights Landing Ridge Cut
C307,C307,-13547205.68,4728561.061,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM 5 return
C308,C308,-13514973.02,4721799.767,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Accretion to Bear River
C309,C309,-13534128.43,4562012.106,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Old River diversion to Contra Costa Urban
C30,C30,-13495858.43,4523015.158,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,3,,Delta Mendota Canal delivery to CVPM-10
C310,C310,-13540111.21,4563043.748,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Diversion to Los Vaqueros Reservoir
C311,C311,-13550662.14,4730787.304,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Delivery to Sacramento East Refuges
C313,C313,-13549371.47,4693478.086,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Knights Landing diversion to CVPM8
C314,C314,-13457430.79,4594164.002,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM 8 delivery
C315,C315,-13562055.33,4481143.487,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,SR-SCV release
C316,C316,-13581087.18,4534380.153,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Return to GW-SC
C318,C318,-13421570.64,4457653.739,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,3,,DA42
C31,C31,-12815217.38,3856214.802,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Yuba River inflow to Feather River
C321,C321,-12871585.42,3987462.521,Junction Node,9,,,,,,,,,,,,,,,,,14,Randy Ritzema,,,Hayfield recharge ponds
C322,C322,-13205403.6,4154569.046,Junction Node,9,,,,,,,,,,,,,,,,,14,Randy Ritzema,,,Recharge facilite for aggregated Kern-Semitropic-Arvin/Adison groundwater basins
C323,C323,-13591634.08,4566139.01,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Mokelumne Aqueduct and Los Vacqueros Pipeline crossover
C32,C32,-13537014.75,4706055.627,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Feather River Diversion to CVPM5
C33,C33,-13510242.52,4724326.826,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Bear River release to CVPM7
C34,C34,-13517123.6,4681403.864,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM7 delivery
C35,C35,-13464543.73,4740725.729,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Bear River upstream of CFW Reservoir
C36,C36,-13457430.79,4594164.002,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM8 delivery
C37,C37,-13473449.28,4650288.812,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Cosumnes River inflow
C38,C38,-13518645.94,4615641.324,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Cosumnes River inflow to Mokel. River
C39,C39,-13470801.69,4603254.578,Junction Node,9,0,,,0,,,0,,,0,,,,,,,13,Stacy Tanaka,2,,Folsom South Canal inflow to Mokelumne River Aqueduct
C3,C3,-13615681.41,4939965.752,Junction Node,9,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,1,,CVPM 1 delivery
C40,C40,-13454371.33,4592082.453,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,California Aqueductlaveras River
C41,C41,-13470896.17,4587167.547,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,California Aqueductla. River Diversion to CVPM8
C42,C42,-13510757.84,4574904.243,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,California Aqueductlav. River inflow to S. Joaq. River
C43,C43,-13427420.97,4575753.916,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Stan. River diversion to Stockton Urban
C44,C44,-13352600.56,4564481.345,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Lower Cherry Creek Aqueduct inflow to Hetch Hetchy Aqueduct
C45,C45,-13457597.26,4510337.253,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,CVPM 12 farm gate
C46,C46,-13394711.7,4457730.776,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,CVPM 13 farm gate
C47,C47,-13410805.46,4452419.511,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Chowchilla River Inflow to Chowchilla Bypass
C48,C48,-13398955.13,4435800.758,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Fresno River Inflow to Chowchilla Bypass
C49,C49,-13309620.39,4418615.376,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Friant-Kern California Aqueductnal delivery to CVPM-16 and City of Fresno
C4,C4,-13587160.39,4837797.259,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,CVPM2 return to Sacramento River
C50,C50,-13338299.65,4404963.805,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM-16 farm gate
C51,C51,-13289672.45,4413608.608,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kings River
C52,C52,-13339522.43,4347734.344,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kings River
C53,C53,-13289672.45,4413608.608,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kings River
C54b,C54b,-13343095.2,4389903.964,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Artifical node to preven node C54 from having two sink nodes attached to it; which creates problems when processing the runs because the sink nodes are not considered unique.
C54,C54,-13378486.71,4390842.117,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Crescent Weir
C55,C55,-13281653.93,4388015.235,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 17 farm gate
C56,C56,-13252066.33,4354259.205,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,Kaweah River
C57,C57,-13240132.21,4306120.029,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Tule River
C58,C58,-13240132.21,4306120.029,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Tule River
C59,C59,-13338923.1,4307742.963,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Inflow to Tulare Lake
C5,C5,-13602777.25,4920577.741,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,CVPM 1 return to Sacramento River
C60,C60,-13275246.48,4309770.972,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 18 farm gate
C62,C62,-13274549.68,4240246.41,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Friant-Kern Canal delivery to CVPM-19
C63,C63,-13276931.47,4252047.495,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 20 farm gate
C64,C64,-13298511.85,4245848.336,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Friant-Kern Canal
C65,C65,-13241000.52,4222738.448,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kern River
C66,C66,-13232514.66,4188939.224,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 21 farm gate
C67,C67,-13536235.29,4689336.442,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Sacramento River Diversion to CVPM6
C688,C688,-13253656.76,4324202.629,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,Friant-Kern Canal
C689,C689,-13257252.13,4216899.497,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,Friant-Kern Canal terminal structure
C68,C68,-13514948.12,4537260.977,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM  9 delivery
C69,C69,-13586726.27,4835712.541,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,Glenn Colusa California Aqueductnal
C6,C6,-13605571.55,4855024.53,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,1,,CVPM 2 delivery
C70,C70,-13554865.56,4577091.004,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Contra Costa Canal inflow from Los Vaqueros Reservoir
C71,C71,-13570537.3,4580937.505,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Mallard Slough inflow to Contra Costa Urban
C72,C72,-13325849.03,4439690.945,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,3,,Millerton Lake diversions to Madera Canal
C73,C73,-13270711.58,4208201.325,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM-19;20;21 surface return flow
C74,C74,-13260069.77,4212860.98,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,Cross Valley Canal delivery to CVPM-21
C75,C75,-13349462.27,4289256.904,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,California Aqueduct; aggregation of DWRSIM 841; 842; 843; 844
C76,C76,-13281000.39,4386571.193,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,Friant-Kern Canal delivery to CVPM-17 and CVPM-18
C77,C77,-13499834.11,4823728.215,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,2,,Feather River above Lake Oroville
C78b,C78b,-13586128,4527291.45,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,EBMUD to SFPUC via Hayward node
C78,C78,-13573746.5,4516044.619,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Hayward diversion point from the Hetch-Hetchy Aqueduct for the purpose of the EBMUD intertie
C79,C79,-13579990.31,4513962.333,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Hetch Hetchy Aqueduct
C7,C7,-13532264.69,4668930.215,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,CVPM7 return to Sacramento River
C80,C80,-13538747.95,4690557.108,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,2,,Feather River diversions to CVPM 6
C81,C81,-13592343.65,4872175.351,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,1,,
C82,C82,-13580431.42,4829951.696,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,1,,
C83,C83,-13528109.56,4746897.969,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,2,,Yuba River outflow from DA67
C84,C84,-13461218.98,4455924.563,Junction Node,9,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,3,,CVPM 10 farm gate
C85,C85,-13438147.95,4434742.582,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Diversion to CVPM10
C86,C86,-13637718.86,4869514.266,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,1,,
C87,C87,-13601957.77,4903940.558,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,1,,Sacramento River; confluence with Paynes Creek
C88,C88,-13392204,4552850.765,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,3,,Hetch Hetchy Aqueduct
C89,C89,-13252066.33,4354259.205,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kaweah River
C8,C8,-13525882.14,4662955.65,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,American River inflow to Sacramento River
C90,C90,-13338271.68,4320221.824,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 15 farm gate
C91,C91,-13384845,4357561.199,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,CVPM 14 farm gate
C92,C92,-13442671.67,4418513.058,Junction Node,9,,,,,,,,,,,,,,,,,8,Brian Van Lienden,4,,California Aqueduct; aggregation of DWRSIM 754; 746; & 748
C95,C95,-13288020.98,4205703.886,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,California Aqueduct
C97,C97,-13241000.52,4222738.448,Junction Node,9,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Kern River
C98,C98,-13233434.33,4170303.644,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,4,,SWP deliveries to CVPM 21
C9,C9,-13606125.33,4834419.28,Junction Node,9,,,,,,,,,,,,,,,,,2,Andy Draper,1,,
Castaic Power Plant,Cast PWP,-13208757.82,4107903.238,Power Plant Node,15,,,,,,,,,,,,,,,,,7,Brad Newlin,,,West Branch SWP Power Plant
ChrismanPMP,ChrismPMP,-13244846.31,4166226.595,Pump Plant Node,14,,,,,,,,,,,,,,,,,7,Brad Newlin,4,,Chrisman Pumping Plant
CN1,CN1,-13603390.26,4835155.513,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,1,,Calibration Node
CN2,CN2,-13526175.61,4655706.907,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,2,,Calibration flow node for Region 2
CN3,CN3,-13401579.38,4488334.644,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,3,,Calibration node to add or remove water
CN4,CN4,-13279397.81,4340286.597,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,1,,Calibration Node in Regions 4
CN5,CN5,-13129103.2,4087431.253,Junction Node,9,,,,,,,,,,,,,,,,,13,Stacy Tanaka,,,Calibration Node
Contra Costa 1 PMP,CC1 PMP,-13547789.6,4578793.234,Pump Plant Node,14,,,,,,,,,,,,,,,,,8,Brian Van Lienden,2,,Contra Costa 1 Pumping Plant
CVPM10G,CVPM10G,-13454540.91,4455513.446,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,3,,junction node for CVPM 10
CVPM10S,CVPM10S,-13454540.91,4455513.446,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,3,,junction node for CVPM 10
CVPM11G,CVPM11G,-13460624.59,4541662.367,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,3,,junction node for CVPM 11
CVPM11S,CVPM11S,-13460624.59,4541662.367,Agricultural Demand Node,10,0,,,0,,,0,,,0,,,,,,,6,Jay Lund,3,,junction node for CVPM 11
