Name,From,To,Type,Type_ID,OriginNode,TerminalNode,Amplitude,AmplitudeMID,AmplitudeMID_text,Unit cost,CostMID,CostMID_text,CostMethod,CostMethod_text,LowerBound,LowerBoundMID,LowerBoundMID_text,UpperBound,UpperBoundMID,UpperBoundMID_text,LowerBoundMonthlyID,LowerBoundMonthlyMID,LowerBoundMonthlyMID_text,UpperBoundMonthlyID,UpperBoundMonthlyMID,UpperBoundMonthlyMID_text,ConstrainedFlowPathname,ConstrainedFlowPathnameMID,ConstrainedFlowPathnameMID_text,LowerBoundPathname,LowerBoundPathnameMID,LowerBoundPathnameMID_text,UpperBoundPathname,UpperBoundPathnameMID,UpperBoundPathnameMID_text,ConstraintMethod,ConstraintMethod_text,AuthorID,AuthorID_text,Categories,Boundary,Description
C13_HSU3C13,C13,HSU3C13,Diversion,3,7,174,1,,,0,,,1,None,0,,,198.1000061,233,Upper bound constraint on agricultural deliveries from surface water for Policy 1,,,,,,,/UCD CAP4/C13_C302/FLOW_FXC(KAF)//1MON/CVGSM NAA ID8*1/,234,"Constrained delivery for Policy 4a from CVGSM delivery ID8 in Cnjdvsp2.nda; with an average annual delivery of 778.4 TAF.  Data for Oct 1990 - Sep 1993 calculated by linear regression with DWRSIM CP77 diversion; in ""C:\public\Report\Software & Data Appendices\P [Policy 4a]\Extensions 1990-1993\Alt 4 Diversions 3-7-00 extMJ.xls""",,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,11,0,surface delivery CVPM 3
C141_C142,C141,C142,Diversion,3,319,320,1,1309,0,0,,,1,None,0,,,0,1310,0 capacity for Policy 4A,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Colorado River
C141_HUDPV,C141,HUDPV,Diversion,3,319,924,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,surface supplies to palo verde Ag
C141_T63,C141,T63BLY,Diversion,3,319,853,1,,,275.2799988,1314,The same as in El Centro. Treatment ($20/af) + salinity damage ($136/af) + water distribution ($30/af) -App. G- Operating Cost,2,Constant,0,,,0,1315,This demand is present in the 2100 Climate Change model; but does not appear in the 2020 Calfed models.  For now it will be added to the model but without demands or deliveries.    According to Blythe's 2005 UWMP they pump 13 TAF/Y of local groundwater with no Colorado river connection.,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Colorado River Deliveries to Blythe
C142_C143,C142,C143,Diversion,3,320,321,1,1316,0,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Colorado River
C143_C149,C143,C149,Diversion,3,321,326,1,1347,0,0,,,1,None,0,,,612.7000122,,,,,,143,1348,All- American Canal (10;155 cfs) USBR website; search for all American Canal,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Mid All American Canal
C143_Mexico,C143,Mexico,Diversion,3,321,682,1,,,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Colorado R Diversion
C145_HARUC145,C145,HARUC145,Diversion,3,322,565,1,1320,To account for evap losses in the recharge ponds. guessing,12.47640038,1321,2010 O&M costs for Whitewater and Mission creek spreading facilities,2,Constant,0,,,10,1322,MDDxx,,,,137,1323,CVWD and DWA operate the operates the Whitewater Spreading Basin for Artificial Recharge  in the Upper Valley; which has the capacity to recharge at least 300 TAF/yr (p. b-17; CVWD2000) also; the Mission Creek speaking basin with a capacity of at least 20 TAF/yr,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,GW-CH Upper Valley Artificial Recharge
C146_C145,C146,C145,Diversion,3,323,322,1,1324,0,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,White Water River diversion to GW-CH (assumed to be negligible)
C146_SR-SS,C146,SR-SS,Diversion,3,323,814,1,1327,0,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,White Water River flow into SR-SS
C147-C158,C147,C158,Diversion,3,324,333,1,1335,Artificial recharge in Lower Valley(in La Quinta and Martinez Canyon area). CVWD is conducting tests to evaluate potential recharge sites; to resolve on-going groundwater overdraft. Addional imported water is expected to come from SWP entitlement transfers and quantification of Californias Colorado River allocation.,0,1336,2010-2011 costs; including SWP water delivery cost is $89.75 / AF,2,Constant,0,,,0,1337,UB=0 to study marginal value of giving unit capacity to this element,,,,141,1338,Capacity of the recharge facility; around 80 taf/y. It includes two sites;  Dike N. 4 (40 taf/y) and Martinez Canyon (average recharge rate 40 taf/y). Dike 4 is functioning; Martinez is under study.,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Diversion for artificial recharge in Coachella Lower Valley
C147_HUCH,C147,HUDCH,Diversion,3,324,918,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Inflows for Coachella Ag
C147_HWTC147,C147,HWTC147,Diversion,3,324,657,1,,,550.5599976,1332,Assumed TDS level of 879 mg/l giving $257 salinity cost + $95 (convey/distributioin) + $20 (Water treatment cost) = $372/af  MJ Nov 1 2005,2,Constant,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Coachella Canal direct use by Coachella Urban via water treatment plant
C147_T31,C147,T31COAC,Diversion,3,324,830,1,,,44.40000153,1333,estimate of local conveyance and distribution pumping cost; no treatment cost,2,Constant,0,,,0,,,,,,140,1334,Irrigation of golf courses from CH Canal. Currently its 7.5 TAF/Y. Projections in CVWD 2002: 22 TAF/y if no projects - 35.3  TAF/y  if preferred alternative (alt. 4)  (p. 5-16; Table 5-4; CVWD2002) - Here we consider the preferred alternative.,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,,0,Golf courses irrigation from the Coachella Canal
C148_SR-SS,C148,SR-SS,Diversion,3,325,814,1,1346,0,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Salton Sea connection from New and Alamo Rivers (currently neglected)
C149_All American Canal Power Plant,C149,AAC PWP,Diversion,3,326,296,0.985000014,1192,Assumed canal losses of 1.5%,0,,,1,None,0,,,612.7000122,2469,0,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,West IID canal
C149_C147,C149,C147,Diversion,3,326,324,0.839999974,1339,assumed canal losses of 16%,0,,,1,None,0,,,78.40000153,,,,,,142,1340,1300 cfs,,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,Unlined Coachella Canal
C14_HU4,C14,HU4,Diversion,3,8,205,1.001000047,236,CVPM data unadjusted from CVPIAPEIS input data,0,,,1,None,0,,,3.40E+38,,,,,,,,,/GWUPD1/C14_HU4/FLOW_FXC(KAF)//1MON/C2VSIM_FXD REUSE/,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,11,0,Hidden ag delivery reuse calibration link
C14_SinkR1,C14,Sink R1,Diversion,3,8,254,1,,,0,,,1,None,0,,,0,,,,,,,,,/CAWI_WC/AG CAL CVPM4/FLOW(KAF)/01JAN1970/1MON/CALIBRATION CVPM4/,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,,0,Debug losses from CVPM 4
C150_C16,C150,C16,Diversion,3,10,12,1,,,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,22,0,Cache Creek DA16 outflow
C150_Sink G31,C150,Sink G31,Diversion,3,10,247,1,,,0,,,1,None,0,,,3.40E+38,,,,,,,,,/UCD CAP1/C150_Sink G31/FLOW_LOC//1MON/DA16 LOCAL DEMAND/,,,,,,,,,54,ConstrainedTimeSeries,6,Jay Lund,22,0,DA 16 local demand - constrained delivery no value function
C151_C152,C151,C152,Diversion,3,327,328,0.935000002,1349,Assumed losses of 6.5%,0,,,1,None,0,,,612.7000122,1350,Technical Memo BDN3,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,Latter end of IID canal
C151_GW-IM,C151,GW-IM,Diversion,3,327,557,1,,,7.400000095,1351,MDDxx,2,Constant,0,,,0.067000002,1352,Estimated GW recharge through seepage in the valley. (800 AF/Y),,,,,,,,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,5,0,GW-IM Artificial Recharge (currently ignored)
C152_C156,C152,C156,Diversion,3,328,331,1,,,984.2000122,1353,$460/af for salinity damage cost; $525 for pumping,2,Constant,0,,,0,2470,0,,,,,,,,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,5,0,Imperial-San Diego Canal (doesn't actually exist yet)
C152_HUDIM,C152,HUDIM,Diversion,3,328,921,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,supplies to Imperial Ag
C152_T57,C152,T57ECEN,Diversion,3,328,848,1,,,275.2799988,1400,The same as in El Centro. Treatment ($20/af) + salinity damage ($136/af) + water distribution ($30/af) -App. G- Operating Cost,2,Constant,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,All American Canal diversion to El Centro
C153_C154,C153,C154,Diversion,3,329,330,1,1358,0,0,,,1,None,0,,,67.59999847,,,,,,145,1359,Auld Valley (340 cfs),,,,,,,,,,31,NoLowerBound+MonthlyUpperBound,6,Jay Lund,5,0,San Diego Pipelines 1;2;4 & 6
C153_C156,C153,C156,Diversion,3,329,331,1,1360,0,0,,,1,None,0,,,67.63680267,,,,,,146,1361,SD 1; 2; 3; 4  (885 cfs),,,,,,,,,,21,NoLowerBound+ConstantUpperBound,6,Jay Lund,5,0,San Diego Pipelines No. 5&3 (untreated water)
C154_HUDEW,C154,HUDEW,Diversion,3,330,904,1,,,0,,,1,None,0,,,0,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,,0,Ag demand to E&W MWD
C154_T34,C154,T34EMWD,Diversion,3,330,833,1,,,140.6000061,1365,Water distribution costs,2,Constant,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,6,Jay Lund,5,0,SW & GW Diversion to E/W MWD
C155_C19,C155,C19,Diversion,3,11,16,1,,,0,,,1,None,0,,,3.40E+38,,,,,,,,,,,,,,,,,,11,NoLowerBound+NoUpperBound,8,Brian Van Lienden,22,0,Putah Creek DA24 outflow
C155_Sink G35,C155,Sink G35,Diversion,3,11,248,1,,,0,,,1,None,0,,,3.40E+38,,,,,,,,,/UCD CAP1/C155_Sink G35/FLOW_LOC//1MON/DA24 LOCAL DEMAND/,,,,,,,,,54,ConstrainedTimeSeries,2,Andy Draper,22,0,DA 24 local demand - constrained delivery no value function
