Name,PRMName,x,y,Type,Type_ID,Inflow,Inflow_path,Inflow_TS ,Inflow_MID,Info,Inflow_Author,Description
Source_C318,C318,-13421570.64,4462653.739,Source,90,Source_C318,/UCD CAP1/SOURCE_C318/FLOW_LOC(KAF)//1MON/ACCRTN EASTSIDE BYPASS 06200/,,1411,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea"" -Corrected by Andy 062000 see file: ""\Spiff\ex_hobbes\Prm\Calibration\Reg3\Policy4\V21\AccretionCorrectionforRegion3 MJ.xls",Andy Draper,Accretion Eastside Bypass
Source_C32,C32,-13537014.75,4711055.627,Source,90,Source_C32,/GWUPD_FINAL/SOURCE_C32/FLOW_LOC(KAF)//1MON/DA69/,,390,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,DA69 local water supply
Source_C35,C35,-13464543.73,4745725.729,Source,90,Source_C35,/UCD CAP1/Source_C35/FLOW_LOC//1MON/GREENHORN CREEK AND BEAR RIVER/,,405,none,Andy Draper,GREENHORN CREEK AND BEAR RIVER
Source_C37,C37,-13473449.28,4655288.812,Source,90,Source_C37,/UCD CAP1/Source_C37/FLOW_LOC//1MON/COSUMNES RIVER/,,418,Oct 1992 - Sep 1993 data calculated on \Hobbes\public\Report\Software & Data Appendices\I (Surface Water Hydrology)\eastside streams\flows 1992-1994.xls,Andy Draper,COSUMNES RIVER
Source_C38,C38,-13518645.94,4620641.324,Source,90,Source_C38,/UCD CAP1/Source_C38/FLOW_LOC//1MON/DRY CREEK/,,423,Oct 1992 - Sep 1993 data calculated on \Hobbes\public\Report\Software & Data Appendices\I (Surface Water Hydrology)\eastside streams\flows 1992-1994.xls,Andy Draper,DRY CREEK
Source_C51,C51,-13289672.45,4418608.608,Source,90,Source_C51,/GWUPD_FINAL/SOURCE_C51/FLOW_LOC(KAF)//1MON/ACCRETION KINGS/,,,,Jay Lund,Accretion Kings River
Source_C52,C52,-13339522.43,4352734.344,Source,90,Source_C52,/UCD CAP1/SOURCE_C52/FLOW_LOC(KAF)//1MON/ACCRETION KINGS S FORK/,TS/_UCD CAP1_SOURCE_C52_FLOW_LOC KAF __1MON_ACCRETION KINGS S FORK_.csv,,,Andy Draper,Accretion South Fork Kings River
Source_C54,C54,-13378486.71,4395842.117,Source,90,Source_C54,/UCD CAP1/SOURCE_C54/FLOW_LOC(KAF)//1MON/ACCRETION FRESNO SLOUGH/,,,,Andy Draper,Accretion Fresno Slough
Source_C57,C57,-13240132.21,4311120.029,Source,90,Source_C57,/GWUPD_FINAL/SOURCE_C57/FLOW_LOC(KAF)//1MON/ACCRETION TULE/,,,,Jay Lund,Accretion Tule River
Source_C65,C65,-13241000.52,4227738.448,Source,90,Source_C65,/GWUPD_FINAL/SOURCE_C65/FLOW_LOC(KAF)//1MON/ACCRETION KERN/,,,,Jay Lund,Accretion Kern River
Source_C67,C67,-13536235.29,4694336.442,Source,90,Source_C67,/UCD CAP1/Source_C67/FLOW_LOC//1MON/DA70/,,,,Stacy Tanaka,DA70 Local Water Supply
Source_C77,C77,-13499834.11,4828728.215,Source,90,Source_C77,/UCD CAP1/SOURCE_C77/FLOW_LOC(KAF)//1MON/FEATHER RIVER/,,480,IN6 from DWRSIM Run 514 output,Andy Draper,FEATHER RIVER
Source_C81,C81,-13592343.65,4877175.351,Source,90,Source_C81,/UCD CAP1/SOURCE_C81/FLOW_LOC(KAF)//1MON/DA66 OUTFLOW/,,493,0,Matthew Davis,DA66 Outflow
Source_C82,C82,-13580431.42,4834951.696,Source,90,Source_C82,/GWUPD_FINAL/SOURCE_C82/FLOW_LOC(KAF)//1MON/DA10/,,494,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,DA10 Local water supply
Source_C86,C86,-13637718.86,4874514.266,Source,90,Source_C86,/UCD CAP1/SOURCE_C86/FLOW_LOC(KAF)//1MON/THOMES & ELDER CREEKS/,,497,none,Andy Draper,DA5 outflow - Thomes and Elder Creeks
Source_C87,C87,-13601957.77,4908940.558,Source,90,Source_C87,/UCD CAP1/SOURCE_C87/FLOW_LOC(KAF)//1MON/DA3 PAYNES & SEVEN MILE CREEK/,,498,0,Andy Draper,DA3 outflow - Paynes Creek and Seven Mile Creeks
Source_C89,C89,-13252066.33,4359259.205,Source,90,Source_C89,/GWUPD_FINAL/SOURCE_C89/FLOW_LOC(KAF)//1MON/ACCRETION KAWEAH/,,,,Jay Lund,Accretion Kaweah River
Source_CN1,CN1,-13603390.26,4840155.513,Source,90,Source_CN1,/UCD CAP4/SOURCE_CN/FLOW_LOC(KAF)//1MON/CALIBRATION FLOW/,,,,Stacy Tanaka,Calibration flow
Source_CN2,CN2,-13526175.61,4660706.907,Source,90,Source_CN2,/UCD CAP4/SOURCE_CN/FLOW_LOC(KAF)//1MON/CALIBRATION FLOW/,,,,Stacy Tanaka,Calibration Inflow to CN2
Source_CN3,CN3,-13401579.38,4493334.644,Source,90,Source_CN3,/UCD CAP4/SOURCE_CN/FLOW_LOC(KAF)//1MON/CALIBRATION FLOW/,,,,Stacy Tanaka,Source flows for calibration nodes
Source_CN4,CN4,-13279397.81,4345286.597,Source,90,Source_CN4,/UCD CAP4/SOURCE_CN4/FLOW_LOC(KAF)//1MON/CALIBRATION FLOW/,,,,Stacy Tanaka,Calibration flow
Source_CN5,CN5,-13129103.2,4092431.253,Source,90,Source_CN5,/UCD CAP4/SOURCE_CN/FLOW_LOC(KAF)/01JAN1920/1MON/CALIBRATION FLOW/,,,,Stacy Tanaka,Calibration Inflow to Region 5
Source_D16,D16,-13425579.85,4566772.199,Source,90,Source_D16,/UCD CAP1/SOURCE_D16/FLOW_LOC(KAF)//1MON/ACCRETION NEW MELONES TO GOOD/,,1833,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion Melones to Goodwin
Source_D17,D17,-13475898.51,4708338.819,Source,90,Source_D17,/UCD CAP1/Source_D17/FLOW_LOC//1MON/N AND M FORKS AMERICAN RIVER/,,609,IN17 from DWRSIM Run 514 output,Andy Draper,N AND M FORKS AMERICAN RIVER
Source_D30,D30,-13581210.49,4822652.017,Source,90,Source_D30,/GWUPD_FINAL/SOURCE_D30/FLOW_LOC(KAF)//1MON/DA15/,,612,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,DA15 local water supply
Source_D43a,D43a,-13570077.76,4751179.941,Source,90,Source_D43a,/UCD CAP1/SOURCE_D43A/FLOW_LOC(KAF)//1MON/DA14 BUTTE CREEK & LITTLE CH/,,626,0,Andy Draper,DA14 outflow -Butte creek and Little Chico Creek
SOURCE_D509,D509,-13565567.34,4593215.255,Source,90,SOURCE_D509,/GWUPD_FINAL/SOURCE_D509/FLOW_LOC(KAF)//1MON/DA55/,,,,Jay Lund,DA55 Accretions
Source_D511,D511,-13526641.91,4619598.805,Source,90,Source_D511,/UCD CAP1/Source_D509/FLOW_LOC(KAF)//1MON/DA55/,,649,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea"".  Moved in A03B25 from D509 to D507 to alleviate some of the infeasbility in meeting the Rio Vista LBC (MJ 09/12/00). MOVED again in A03B27 from D507 to D511 to account for some of this accretion being available in South Delta (MJ 09/22/00)",Andy Draper,DA55 local water supply
Source_D606,D606,-13376260.87,4415980.543,Source,90,Source_D606,/GWUPD_FINAL/SOURCE_D606/FLOW_LOC(KAF)//1MON/ACCRETION SJR-MILLERTON T/,,1846,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion San Joaquin River: Millerton To Mendota Pool
Source_D616,D616,-13499497.73,4537480.408,Source,90,Source_D616,/UCD CAP1/SOURCE_D616/FLOW_LOC(KAF)//1MON/ACCR & DEPL SJR-STAN TO CAL/,,1861,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""  NB. combined accretion and depletion into a single inflow TS; MJ; 06/28/00)",Andy Draper,Net Accretion San Joaquin River Stanislaus to Calaveras (combined depletion into single TS with accretion)
Source_D622,D622,-13346048.13,4457698.408,Source,90,Source_D622,/GWUPD_FINAL/SOURCE_D622/FLOW_LOC(KAF)//1MON/ACCRETION FRESNO/,,1871,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion Fresno River; updated July 2012; per GW update based on C2VSIM
Source_D632,D632,-13359151.38,4472013.377,Source,90,Source_D632,/GWUPD_FINAL/SOURCE_D632/FLOW_LOC(KAF)//1MON/ACCRETION CHOWCHILLA/,,1878,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion Chowchilla River; updated per GW update based on C2VSIM
Source_D642,D642,-13388508.84,4523848.924,Source,90,Source_D642,/GWUPD_FINAL/SOURCE_D642/FLOW_LOC(KAF)//1MON/ACCRETION UPPER MERCED/,,1886,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion Upper Merced River
Source_D646,D646,-13408658.26,4514303.114,Source,90,Source_D646,/GWUPD_FINAL/SOURCE_D646/FLOW_LOC(KAF)//1MON/ACCRETION LOWER MERCED/,,1902,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion Lower Merced River
Source_D653b,D653b,-13429142.22,4564375.068,Source,90,Source_D653b,/UCD CAP1/SOURCE_D653A/FLOW_LOC(KAF)//1MON/ACCRETION GOODWIN TO MOUTH/,,1915,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion Stanislaus Goodwin to Mouth
Source_D663,D663,-13409883.05,4537480.753,Source,90,Source_D663,/UCD CAP1/SOURCE_D663/FLOW_LOC(KAF)//1MON/ACCRETION TUOLOMNE/,,1932,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion Tuolumne below New Don Pedro Dam
Source_D687,D687,-13495156.13,4533965.298,Source,90,Source_D687,/GWUPD_FINAL/SOURCE_D687/FLOW_LOC(KAF)//1MON/ACCRETION SJR-TUOLOMNE TO/,,1953,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Jay Lund,Accretion San Joaquin River below Tuolumne
Source_D691,D691,-13453186.83,4478723.125,Source,90,Source_D691,/UCD CAP1/SOURCE_D691/FLOW_LOC(KAF)//1MON/ACCRETION SJR-BYPASS TO MERC/,,1960,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion San Joaquin River: Bypass to Merced (Mud Slough and Salt Slough)
Source_D698,D698,-13478791.52,4513180.165,Source,90,Source_D698,/UCD CAP1/SOURCE_D698/FLOW_LOC(KAF)//1MON/ACCRETION SJR-MERCED TO TUOL/,,1971,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion San Joaquin River: Merced to Tuolumne
Source_D733,D733,-13359629.15,4417732.057,Source,90,Source_D733,/UCD CAP1/SOURCE_D733/FLOW_LOC(KAF)//1MON/ACCRETION SJR-MENDOTA TO BYP/,,2013,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""\Spiff\ex_hobbes\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,Accretion San Joaquin River: Mendota Pool to Bypass
Source_D74,D74,-13601762.22,4912951.988,Source,90,Source_D74,/UCD CAP1/SOURCE_D74/FLOW_LOC(KAF)//1MON/DA58/,,689,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,DA58 local water supply
Source_D849,D849,-13420256.38,4194392.001,Source,90,Source_D849,/UCD CAP1/SOURCE_D849/FLOW_LOC(KAF)//1MON/LOCAL SUPPLY SB & SLO/,,2070,none,Andy Draper,Local Supply SB and SLO
Source_D889,D889,-13194916.97,4086677.064,Source,90,Source_D889,/UCD CAP4/SOURCE_D889/FLOW_FXC(KAF)/01JAN1920/1MON/BST2020D09D ANN2_2 D868/,,2145,Boundary flow that corresponds to Coastal Branch deliveries to CLWA; from CALSIM II study BST_2020D09D_ANNBENCHMARK_2_2  (diversion D868) ,Jay Lund,COASTAL BRANCH DELIVERIES TO CLWA
Source_D94,D94&D40,-13670382.32,4975962.778,Source,90,Source_D94,/UCD CAP1/SOURCE_D94/FLOW_LOC(KAF)//1MON/LEWISTON LAKE INFLOW/,,706,IN94 from DWRSIM Run 514 output,Andy Draper,LEWISTON LAKE INFLOW
Source_D98,D98,-13518645.94,4620641.324,Source,90,Source_D98,/UCD CAP1/Source_D98/FLOW_LOC//1MON/DA59/,,714,"Calculated as the sum of runoff and groundwater gains from the CVGSM output file ""Hobbes\public\CVPIAPEIS\Disk2\CVGSM\NAA\OUTPUT\strmdt2a.nea""",Andy Draper,DA59 local water supply
Source_D9,D9,-13493967.75,4674774.992,Source,90,Source_D9,/UCD CAP1/Source_D9/FLOW_LOC//1MON/ACCRETION AMERICAN FOLSOM TO F/,,704,IN9 from DWRSIM Run 514 output,Andy Draper,ACCRETION AMERICAN FOLSOM TO FAIR OAKS
Source_Desal,Desal,-13034307.02,3855511.299,Source,90,Source_Desal,/UCD CECT/SOURCE_DESAL/FLOW_LOC(KAF)//1MON//,,,,Stacy Tanaka,Ocean desalination
Source_DesalR5,DesalR5,-13036456.97,3861421.971,Source,90,Source_DesalR5,/UCD CECT/SOURCE_DESAL/FLOW_LOC(KAF)//1MON//,,,,Jay Lund,Source Desal reg5 - JH for region 3-4-5
Source_GW-10,GW-10,-13454540.91,4460513.446,Source TS,90,Source_GW-10,/GWUPD_FINAL/SOURCE_GW-10/FLOW_LOC(KAF)//1MON/C2VSIM/,TS/_GWUPD_FINAL_SOURCE_GW-10_FLOW_LOC KAF __1MON_C2VSIM_.csv,2181,From CVGSM NAA 1997 output files,Jay Lund,Groundwater inflow GW-10-C2VSIM Historical Run
Source_GW-11,GW-11,-13460624.59,4546662.367,Source TS,90,Source_GW-11,/GWUPD_FINAL/SOURCE_GW-11/FLOW_LOC(KAF)//1MON/C2VSIM/,TS/_GWUPD_FINAL_SOURCE_GW-11_FLOW_LOC KAF __1MON_C2VSIM_.csv,2182,From CVGSM NAA 1997 output files,Jay Lund,Groundwater inflow GW-11 C2VSIM Historical Run
Source_GW-12,GW-12,-13443370.31,4517372.71,Source,90,Source_GW-12,/GWUPD_FINAL/SOURCE_GW-12/FLOW_LOC(KAF)//1MON/C2VSIM/,,2183,From CVGSM NAA 1997 output files,Jay Lund,Groundwater inflow GW-12 C2VSIM Historical Run
Source_GW-13,GW-13,-13394126.75,4462436.457,Source,90,Source_GW-13,/GWUPD_FINAL/SOURCE_GW-13/FLOW_LOC(KAF)//1MON/C2VSIM/,,2185,From CVGSM NAA 1997 output files,Jay Lund,Groundwater inflow GW-13 C2VSIM Historical Run
Source_GW-14,GW-14,-13382771.36,4347963.087,Source,90,Source_GW-14,/GWUPD_FINAL/SOURCE_GW-14/FLOW_LOC(KAF)//1MON/C2VSIM/,,2187,"/UCD CECT/SOURCE_GW-14/FLOW_LOC(KAF)/01JAN1920/1MON/MODIFIED INFLOW/ Inflows into GW-14 (Westlands Water District""s groundwater basin) have been reduced to result in a 200 taf annual inflow.  200 taf is the safe yield (as stated by Westlands).  The monthly pattern from CVGSM was preserved; but the annual average was reduced from 341 taf/yr to 200 taf/yr (see WestlandsWaterDistrictWaterBalance.xls sheet ""InflowtoGW-14""). 060904skt",Jay Lund,Groundwater inflow GW-14 C2VSIM Historical Run
Source_GW-15,GW-15,-13340875.62,4343746.591,Source,90,Source_GW-15,/GWUPD_FINAL/SOURCE_GW-15/FLOW_LOC(KAF)//1MON/C2VSIM/,,2188,MDDxx,Jay Lund,Groundwater inflow GW-15 C2VSIM Historical Run
Source_GW-16,GW-16,-13335580.14,4411674.287,Source,90,Source_GW-16,/GWUPD_FINAL/SOURCE_GW-16/FLOW_LOC(KAF)//1MON/C2VSIM/,,2189,MDDxx,Jay Lund,Groundwater inflow GW-16 C2VSIM Historical Run
Source_GW-17,GW-17,-13303021.35,4385627.653,Source,90,Source_GW-17,/GWUPD_FINAL/SOURCE_GW-17/FLOW_LOC(KAF)//1MON/C2VSIM/,,2192,MDDxx,Jay Lund,Groundwater inflow GW-17 C2VSIM Historical Run
Source_GW-18,GW-18,-13278063.68,4322690.606,Source,90,Source_GW-18,/GWUPD_FINAL/SOURCE_GW-18/FLOW_LOC(KAF)//1MON/C2VSIM/,,2195,MDDxx,Jay Lund,Groundwater inflow GW-18 C2VSIM Historical Run
Source_GW-19,GW-19,-13316074.81,4237886.193,Source,90,Source_GW-19,/GWUPD_FINAL/SOURCE_GW-19/FLOW_LOC(KAF)//1MON/C2VSIM/,,2198,MDDxx,Jay Lund,Groundwater inflow GW-19 C2VSIM Historical Run 1980-2000
Source_GW-1,GW-1,-13621335.1,4938974.05,Source,90,Source_GW-1,/GWUPD_FINAL/SOURCE_GW-1/FLOW_LOC(KAF)//1MON/C2VSIM/,,717,MDDxx,Jay Lund,Groundwater inflow GW-1
Source_GW-20,GW-20,-13259618.61,4253736.596,Source,90,Source_GW-20,/GWUPD_FINAL/SOURCE_GW-20/FLOW_LOC(KAF)//1MON/C2VSIM/,,2199,MDDxx,Jay Lund,Groundwater inflow GW-20 C2VSIM Historical Run356
Source_GW-21,GW-21,-13252377.37,4195118.178,Source,90,Source_GW-21,/GWUPD_FINAL/SOURCE_GW-21/FLOW_LOC(KAF)//1MON/C2VSIM/,,2202,MDDxx,Jay Lund,Groundwater inflow GW-21 C2VSIM Historical Run356
Source_GW-2,GW-2,-13607102.42,4866232.858,Source,90,Source_GW-2,/GWUPD_FINAL/SOURCE_GW-2/FLOW_LOC(KAF)//1MON/C2VSIM/,,721,MDDxx,Jay Lund,Groundwater inflow GW-2 based on C2VSIM R356 Historical inflows
Source_GW-3,GW-3,-13601833.18,4764079.604,Source,90,Source_GW-3,/GWUPD_FINAL/SOURCE_GW-3/FLOW_LOC(KAF)//1MON/C2VSIM/,,722,MDDxx,Jay Lund,Groundwater inflow GW-3 based on C2VSIM Historical Run356
Source_GW-4,GW-4,-13568802.78,4747953.183,Source,90,Source_GW-4,/GWUPD_FINAL/SOURCE_GW-4/FLOW_LOC(KAF)//1MON/C2VSIM/,,723,MDDxx,Jay Lund,Groundwater inflow GW-4 based on C2VSIM Historical Run356
Source_GW-5,GW-5,-13545175.96,4772896.258,Source,90,Source_GW-5,/GWUPD_FINAL/SOURCE_GW-5/FLOW_LOC(KAF)//1MON/C2VSIM/,,724,MDDxx,Jay Lund,Groundwater inflow GW-5 based on C2VSIM Historical Run356
Source_GW-6,GW-6,-13570646.44,4661086.256,Source,90,Source_GW-6,/GWUPD_FINAL/SOURCE_GW-6/FLOW_LOC(KAF)//1MON/C2VSIM/,,726,MDDxx,Jay Lund,Groundwater inflow GW-6 based on C2VSIM Historical Run356
Source_GW-7,GW-7,-13513555.09,4694427.819,Source,90,Source_GW-7,/GWUPD_FINAL/SOURCE_GW-7/FLOW_LOC(KAF)//1MON/C2VSIM/,,730,MDDxx,Jay Lund,Groundwater inflow GW-7 based on C2VSIM Historical Run356
Source_GW-8,GW-8,-13481411.01,4611531.74,Source,90,Source_GW-8,/GWUPD_FINAL/SOURCE_GW-8/FLOW_LOC(KAF)//1MON/C2VSIM/,,734,MDDxx,Jay Lund,Groundwater inflow GW-8 based on C2VSIM Historical Run356
Source_GW-9,GW-9,-13529379.6,4596964.393,Source,90,Source_GW-9,/GWUPD_FINAL/SOURCE_GW-9/FLOW_LOC(KAF)//1MON/C2VSIM/,,744,MDDxx,Jay Lund,Groundwater inflow GW-9 based on C2VSIM Historical Run356
Source_GW-AV,GW-AV,-13146331.27,4142336.354,Source TS,90,Source_GW-AV,/SOUTH UPDT/SOURCE_GW-AV/FLOW_LOC(KAF)//1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_GW-AV_FLOW_LOC KAF __1MON_LOCAL SUPPLIES_.csv,2206,Antelope Valley groundwater inflows. The inflow amount is scaled to macth AV's reported average annual groundwater supplies. The inflow pattern is from precipitaion data.,Jay Lund,Antelope_Valley
Source_GW-CH,GW-CH,-12949176.66,3999084.85,Source TS,90,Source_GW-CH,/SOUTH UPDT/SOURCE_GW-CH/FLOW_LOC(KAF)/01JAN1920/1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_GW-CH_FLOW_LOC KAF _01JAN1920_1MON_LOCAL SUPPLIES_.csv,2213,Groundwater inflows to Cochella scaled to match Coachella's reported groundwater inflows. Inflow pattern for precipitation data,Jay Lund,Coachella_Valley
Source_GW-EW,GW-EW,-13036848.72,3995956.003,Source TS,90,Source_GW-EW,/SOUTH UPDT/SOURCE_GW-EW/FLOW_LOC(KAF)/01JAN1920/1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_GW-EW_FLOW_LOC KAF _01JAN1920_1MON_LOCAL SUPPLIES_.csv,2478,MWDSC Provided local inflow data from 1974 to 1994. This data was used as is for those years. Other years in the series were filled in by establishing an average inflow by year type; and applying that inflow for each year of that type. Totals were checked againt Eastern ans Western MWD's UWMPs.,Jay Lund,groundwater inflows to E&W MWD
Source_GW-IM,GW-IM,-12849373.43,3886080.282,Source TS,90,Source_GW-IM,/SOUTH UPDT/SOURCE_GW-IM/FLOW_LOC(KAF)/01JAN1920/1MON/LOCAL SUPPLIES/,TS/_SOUTH UPDT_SOURCE_GW-IM_FLOW_LOC KAF _01JAN1920_1MON_LOCAL SUPPLIES_.csv,2223,They just don't have any groundwater. Really.,Jay Lund,Imperial_Valley
